title,artist
Not Like Us,Kendrick Lamar
A Bar Song (Tipsy),Shaboozey
Lose Control,Teddy Swims
meet the grahams,Kendrick Lamar
euphoria,Kendrick Lamar
Ronald,"Falling In Reverse, Tech N9ne & Alex Terrible"
Beautiful Things,Benson Boone
MILLION DOLLAR BABY,Tommy Richman
Where That Came From,Randy Travis
Too Sweet,Hozier
Family Matters,Drake
A Bar Song (Tipsy),Shaboozey
Espresso,Sabrina Carpenter
Like That,"Future, Metro Boomin & Kendrick Lamar"
Fortnight (feat. Post Malone),Taylor Swift
Miles On It,Marshmello & Kane Brown
I Can't,Reba McEntire
Can You Hear Me,Zhang Zhe Han
Live Like You Were Dying,Tim McGraw
The Door,Teddy Swims
Training Season,Dua Lipa
Hollywood Nights,Black Oxygen
Save Me (with Lainey Wilson),Jelly Roll
Illusion,Dua Lipa
i like the way you kiss me,Artemas
Cowgirls (feat. ERNEST),Morgan Wallen
Stick Season,Noah Kahan
Not Today,BTS
Wondering Why,The Red Clay Strays
Where the Wild Things Are,Luke Combs
Halfway To Hell,Jelly Roll
Push Ups,Drake
Lil Boo Thang,Paul Russell
Austin,Dasha
Need a Favor,Jelly Roll
Austin,Dasha
Unwritten,Natasha Bedingfield
we can't be friends (wait for your love),Ariana Grande
The Sound of Silence (CYRIL Remix),Disturbed
Wildflowers and Wild Horses (Single Version),Lainey Wilson
TRUCK BED,HARDY
White Horse,Chris Stapleton
Princess,Maya J
act iii: on god? (she like) [remix],4batz & Kanye West
"Praise (feat. Brandon Lake, Chris Brown & Chandler Moore)",Elevation Worship
Dirt Cheap,Cody Johnson
I Can Do It With a Broken Heart,Taylor Swift
GOOD DAY,Forrest Frank
Hammer to the Heart,Teddy Swims
GO HOME W U,Keith Urban & Lainey Wilson
Lovin On Me,Jack Harlow
Beautiful Things,Benson Boone
TEXAS HOLD 'EM,Beyoncé
Last Night,Morgan Wallen
Save Me,Jelly Roll
Slow It Down,Benson Boone
Hollywood Nights,Black Oxygen
act v: there goes another vase,4batz
Hard to Love,Lee Brice
Take It All Back,"Tauren Wells, We The Kingdom & Davies"
I Remember Everything (feat. Kacey Musgraves),Zach Bryan
Houdini,Dua Lipa
A Country Boy Can Survive,"Hank Williams, Jr."
Tennessee Whiskey,Chris Stapleton
Flowers,Miley Cyrus
Houdini,Dua Lipa
act vi: mad man,4batz
Fast Car,Luke Combs
Cruel Summer,Taylor Swift
Bulletproof,Nate Smith
Wanna Be,GloRilla & Megan Thee Stallion
Thinkin’ Bout Me,Morgan Wallen
Religiously,Bailey Zimmerman
Closer,August Moon
"act vii: all we do is argue, argue",4batz
It Could Have Been You,The Effect & Steve Perry
II MOST WANTED,Beyoncé & Miley Cyrus
act iv: fckin u (18+),4batz
umademeast4r.mp3,4batz
get out yo feelings ho,4batz
act ii: date @ 8,4batz
act iii: on god? (she like),4batz
End of Beginning,Djo
Saturn,SZA
Broadway Girls (feat. Morgan Wallen),Lil Durk
A Symptom Of Being Human,Shinedown
act viii: i hate to be alone,4batz
Wine Into Whiskey,Tucker Wetmore
Home,Good Neighbours
I Hope You Dance,Lee Ann Womack
Training Season,Dua Lipa
"act i: stickerz ""99""",4batz
Unstoppable,Sia
Made For Me,Muni Long
"Good Luck, Babe!",Chappell Roan
Light On,Maggie Rogers
Down Bad,Taylor Swift
Wanna Be,GloRilla & Megan Thee Stallion
G.R.I.T.S,Jimmie Allen
